File#,Incident_Date,UCR,Inc_Address
15-000708,1/11/2015 4:50,"BURGLARY, NON-RES FORCIBL ENT, DAY",440 (ST HWY 440) & KELLOGG ST
15-000710,1/11/2015 7:52,VANDALISM M.V.,52 BROADWAY
15-000767,1/11/2015 9:00,VANDALISM M.V.,425 OCEAN AVE
15-000725,1/11/2015 13:00,LARCENY OVER 200 FROM AUTOS,Bevan St and Rt. 139
15-000729,1/11/2015 14:01,VANDALISM M.V.,BEVAN ST & STATE HWY
15-000731,1/11/2015 15:22,VANDALISM RESIDENCE,609 GREENWICH DR
15-000744,1/11/2015 18:00,LARCENY 50 TO 200 FROM AUTOS,19 FAIRMOUNT TER
15-000746,1/11/2015 20:01,"BURGLARY, RESID. FORCIBLE ENT, NIGHT",151 Bleecker Street 6
15-000752,1/12/2015 1:14,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,1 LOGAN AVE
15-000760,1/12/2015 7:30,VANDALISM M.V.,107 Stevens Ave.
15-000770,1/12/2015 9:47,"BURGLARY, RESID. FORCIBLE ENT, DAY",614 BRAMHALL AVE 3
15-000787,1/12/2015 10:30,SIMPLE ASSAULT,60 CRESCENT AVE
15-000774,1/12/2015 10:35,"BURGLARY, RESID. ATT FORC ENT, DAY",230 CATOR AVE Floor: 1
15-000776,1/12/2015 10:41,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",364 PRINCETON AVE
15-000781,1/12/2015 12:49,WEAPONS OFFENSE FIREARM,165 CLENDENNY AVE 2 Floor: 1
15-000783,1/12/2015 13:15,LARCENY 50 TO 200 FROM AUTOS,JEFFERSON AVE & SUMMIT AVE
15-000790,1/12/2015 13:36,"ASSAULT/AGG/HANDS, FISTS & FEET",96 VAN CLEEF ST
15-000808,1/12/2015 15:40,"BURGLARY, RESIDENT, UNLAW ENT, DAY",26 ROSE AVE Floor: 1
15-000796,1/12/2015 16:53,"BURGLARY, RESID. FORCIBLE ENT, DAY",148 KENSINGTON AVE 104
15-000803,1/12/2015 18:00,"ROBBERY, FIREARMS, STREET",34 WILKINSON AVE Floor: 2
15-000806,1/12/2015 18:29,LARCENY 50 TO 200 SHOPLIFTING,110 NEWARK AVE
15-000811,1/12/2015 18:58,"ASSAULT/AGG/HANDS, FISTS & FEET",315 GARFIELD AVE
15-000809,1/12/2015 19:14,LARCENY OVER 200 POCKET PICKING,725 State Route 440 S
15-000825,1/12/2015 21:15,LARCENY 50 TO 200 FROM AUTOS,689 NEWARK AVE
15-000835,1/12/2015 23:05,VANDALISM M.V.,208 BIDWELL AVE 3r
15-000841,1/13/2015 6:50,VANDALISM M.V.,345 UNION ST
15-000842,1/13/2015 7:15,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",113 MLK DR (MARTIN LUTHER KING DR)
15-000873,1/13/2015 8:00,LARCENY OVER 200 FROM AUTOS,256 BROADWAY
15-000888,1/13/2015 9:00,VANDALISM M.V.,261 BOYD AVE
15-000858,1/13/2015 9:45,SIMPLE ASSAULT,143 2nd St
15-000859,1/13/2015 10:21,SIMPLE ASSAULT,River Drive/Park Lane South
15-000882,1/13/2015 14:30,"ROBBERY, STRONG ARM, STREET",WASHBURN ST & MCPHERSON PL
15-000889,1/13/2015 17:00,LARCENY 50 TO 200 SHOPLIFTING,420 GRAND ST
15-001296,1/13/2015 20:00,LARCENY OVER 200 OTHER,170.5 MANHATTAN AVE
15-000932,1/13/2015 22:00,LARCENY 50 TO 200 AUTO PARTS AND ACCESSORIES,689 TONNELE AVE
15-000957,1/14/2015 7:30,LARCENY 50 TO 200 OTHER,3609 John F Kennedy Blvd
15-000929,1/14/2015 11:00,MV THEFT AUTO DRIVEWAY,109 Hutton Street 2
15-000933,1/14/2015 13:34,SIMPLE ASSAULT,135 STEGMAN ST
15-000942,1/14/2015 15:15,SIMPLE ASSAULT,BELLMONT AVE (BELMONT AVE) & MONTICELLO AVE
15-000995,1/14/2015 19:00,"BURGLARY, RESIDENT, UNLAW ENT, UNKNOWN",297 5TH ST
15-000964,1/14/2015 19:49,LARCENY 50 TO 200 OTHER,12 Carlton Ave
15-000975,1/14/2015 20:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",74 A CORBIN AVE
15-000969,1/14/2015 20:49,SIMPLE ASSAULT,552 WEST SIDE AVE 1L
15-000976,1/14/2015 23:38,SIMPLE ASSAULT,108 TERRACE AVE
15-000974,1/14/2015 23:47,LARCENY OVER 200 FROM BUILDING,701 ST HWY 440
15-000980,1/15/2015 0:31,VANDALISM RESIDENCE,211 LEXINGTON AVE Floor: 2
15-001029,1/15/2015 2:35,LARCENY 50 TO 200 FROM BUILDING,3495 KENNEDY BLVD
15-000989,1/15/2015 7:45,ROBBERY/STRONG ARM,Sip Ave & Bergen Ave
15-001009,1/15/2015 12:10,SIMPLE ASSAULT,Belmont Ave and Kennedy Blvd
15-001024,1/15/2015 17:04,SIMPLE ASSAULT,875 MONTGOMERY ST APT  REAR Floor: 1
15-001025,1/15/2015 17:15,"ROBBERY, STRONG ARM, STREET",WOODLAWN AVENUE & GARFIELD AVENUE
15-001036,1/15/2015 19:44,ASSAULT WITH A FIREARM,170 CARTERET AVE
15-001046,1/15/2015 20:30,SIMPLE ASSAULT,JFK (KENNEDY BLVD) & MANHATTAN AVE
15-001048,1/15/2015 20:55,ASSAULT W/KNIFE OR CUTTING INST,JFK (KENNEDY BLVD) & GLENWOOD AVE
15-001057,1/15/2015 22:30,SIMPLE ASSAULT,25 Thorne St. Apt 1
15-001059,1/16/2015 1:47,LARCENY 50 TO 200 FROM AUTOS,214 HOPKINS AVE Floor: 2
