File#,Incident_Date,UCR,Inc_Address
15-017732,8/13/2015 10:00,LARCENY OVER 200 BIKES,49 PROSPECT ST 1R
15-017692,8/13/2015 10:12,LARCENY OVER 200 FROM BUILDING,822 GRAND ST
15-017728,8/13/2015 11:00,"BURGLARY, RESID. FORCIBLE ENT, DAY",171 DELAWARE AVE
15-017713,8/13/2015 14:12,SIMPLE ASSAULT,565 WEST SIDE AVE
15-017721,8/13/2015 15:30,"ROBBERY, STRONG ARM, RESIDENCE",784 OCEAN AVE
15-017735,8/13/2015 18:37,SIMPLE ASSAULT,WADE ST & MARTIN LUTHER KING DR
15-017740,8/13/2015 19:00,VANDALISM M.V.,511 PAVONIA AVE
15-017742,8/13/2015 19:58,"ASSAULT/AGG/HANDS, FISTS & FEET",162 WOODWARD ST
15-017744,8/13/2015 20:46,SIMPLE ASSAULT,316 GARFIELD AVE Floor: 2
15-017750,8/13/2015 21:48,SIMPLE ASSAULT,65 DANFORTH AVE
15-017753,8/13/2015 22:15,VANDALISM M.V.,156 MLK (MARTIN LUTHER KING DR)
15-017757,8/13/2015 23:10,ASSAULT WITH OTHER WEAPON,420 Grand St
15-017758,8/14/2015 0:32,VANDALISM M.V.,3140 Kennedy Boulevard
15-017760,8/14/2015 0:33,SIMPLE ASSAULT,BIDWELL AVE & MARTIN LUTHER KING DR
15-017841,8/14/2015 1:00,VANDALISM RESIDENCE,161 CAMBRIDGE AVE Floor: 1
15-017781,8/14/2015 6:00,VANDALISM OTHER,118 FERRY ST
15-017810,8/14/2015 8:30,LARCENY OVER 200 BIKES,519 PALISADE AVE
15-017814,8/14/2015 8:35,VANDALISM M.V.,42 SHERMAN AVE
15-017785,8/14/2015 10:42,"BURGLARY, RESID. ATT FORC ENT, UNKNOWN",11.13 WALLIS AVE
15-017783,8/14/2015 10:50,"ROBBERY, FIREARM, BUSINESS",1815 Kennedy Blvd
15-017786,8/14/2015 11:17,LARCENY OVER 200 OTHER,110 RIVER DRIVE S 226
15-017840,8/14/2015 16:00,"BURGLARY, RESIDENT, UNLAW ENT, DAY",439 MERCER ST 3R
15-017828,8/14/2015 17:34,"BURGLARY, RESID. FORCIBLE ENT, DAY",26 BERGEN AVE Floor: 1
15-017833,8/14/2015 18:37,SIMPLE ASSAULT,400 OCEAN AVE
15-017844,8/14/2015 20:00,LARCENY OVER 200 SHOPLIFTING,30 MALL DR W
15-017842,8/14/2015 20:19,SIMPLE ASSAULT,349 Central Avenue
15-017865,8/14/2015 21:00,VANDALISM M.V.,MORGAN ST & MARIN BLVD
15-017851,8/14/2015 21:10,VANDALISM RESIDENCE,323 1ST Street
15-017852,8/14/2015 22:04,VANDALISM M.V.,13 WOODLAWN AVE
15-017861,8/15/2015 1:48,VANDALISM OTHER,730 NEWARK AVENUE
15-017863,8/15/2015 2:28,SIMPLE ASSAULT,NORTH ST & CENTRAL AVE
15-017867,8/15/2015 4:24,VANDALISM M.V.,782 OCEAN AVE
15-017869,8/15/2015 7:56,LARCENY UNDER 50 FROM AUTOS,229 Summit Ave  # APT4 apt4
15-017878,8/15/2015 8:45,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",149 CLERK ST
15-017871,8/15/2015 8:54,LARCENY OVER 200 FROM AUTOS,383 EGE AVE
15-017919,8/15/2015 9:30,SIMPLE ASSAULT,173 WEGMAN PKWY
15-017874,8/15/2015 9:31,VANDALISM RESIDENCE,301 WOODLAWN AVE
15-017886,8/15/2015 13:47,SIMPLE ASSAULT,296 CLERK ST
15-017888,8/15/2015 14:23,SIMPLE ASSAULT,288 Ege Ave
15-017891,8/15/2015 15:00,"BURGLARY, RESIDENT, UNLAW ENT, UNKNOWN",573 CENTRAL AVE 3
15-017895,8/15/2015 16:20,SIMPLE ASSAULT,279 NORTH ST 1R
15-017911,8/15/2015 17:00,LARCENY OVER 200 BIKES,100 NEWKIRK ST 7D
15-017899,8/15/2015 17:25,VANDALISM RESIDENCE,273 CHAPEL AVE Floor: 1
15-017900,8/15/2015 18:07,"ASSAULT/AGG/HANDS, FISTS & FEET",1568 KENNEDY BLVD
15-017912,8/15/2015 21:00,LARCENY OVER 200 SHOPLIFTING,10 MALL DR W
15-017916,8/15/2015 22:34,VANDALISM M.V.,11.13 GIFFORD AVE 5F Floor: 5
15-017922,8/15/2015 23:05,LARCENY OVER 200 SHOPLIFTING,2395 KENNEDY BLVD
15-017958,8/15/2015 23:30,LARCENY 50 TO 200 BIKES,83 GRAND ST
15-017924,8/15/2015 23:54,"ROBBERY, STRONG ARM, STREET",881 TONNELE AVE 45
15-017921,8/16/2015 0:20,LARCENY OVER 200 OTHER,ROSE AVE & MCADOO AVE
15-017962,8/16/2015 1:00,"ASSAULT/AGG/HANDS, FISTS & FEET",116 MERRITT ST
15-017925,8/16/2015 1:25,ASSAULT WITH OTHER WEAPON,322 Second Street
15-017926,8/16/2015 1:39,SIMPLE ASSAULT,213 MALLORY AVE Floor: 2
15-017928,8/16/2015 1:59,SIMPLE ASSAULT,277 BERGEN AVE 5A
15-017930,8/16/2015 2:09,SIMPLE ASSAULT,30 WHITMAN AVE Floor: 1
15-017937,8/16/2015 3:00,SIMPLE ASSAULT,52 Neptune Ave
15-017933,8/16/2015 3:18,SIMPLE ASSAULT,117 UNION ST
15-017936,8/16/2015 4:18,SIMPLE ASSAULT,70 FREMONT ST
15-017942,8/16/2015 7:59,LARCENY OVER 200 FROM AUTOS,MYRTLE AVE & OCEAN AVE
15-017943,8/16/2015 8:17,LARCENY OVER 200 FROM BUILDING,50 REGENT ST Floor: 1
15-017964,8/16/2015 9:00,VANDALISM M.V.,400 ARLINGTON AVE
15-017946,8/16/2015 9:30,LARCENY OVER 200 FROM AUTOS,100 TOWN SQUARE PL
15-017955,8/16/2015 10:00,SIMPLE ASSAULT,290 BRIGHT ST
15-017950,8/16/2015 11:34,ASSAULT WITH OTHER WEAPON,MARTIN LUTHER KING DR & VAN NOSTRAND AVE
15-017953,8/16/2015 11:50,LARCENY 50 TO 200 FROM AUTOS,728 Bergen Ave. (Wonder Bagel Parking Lot)
15-017956,8/16/2015 12:00,LARCENY 50 TO 200 FROM AUTOS,100 CHRISTOPHER COLUMBUS DR
15-017969,8/16/2015 16:50,ASSAULT W/KNIFE OR CUTTING INST,254 BRIGHT ST
15-018168,8/16/2015 17:00,LARCENY 50 TO 200 BIKES,201 Central Ave.
15-017974,8/16/2015 18:17,LARCENY OVER 200 SHOPLIFTING,701 ST HWY 440
15-017977,8/16/2015 19:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",129 BEACON AVE 2
15-018280,8/16/2015 21:30,ASSAULT WITH OTHER WEAPON,OAK ST & MARTIN LUTHER KING DR
15-017996,8/17/2015 2:00,LARCENY 50 TO 200 FROM AUTOS,216 NEWARK AVENUE
15-018058,8/17/2015 6:00,"BURGLARY/NON-RES. UNLAWF ENT, UNKNOWN",84 HARBOR DR
15-018007,8/17/2015 7:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",10 NEW ST 3
15-018008,8/17/2015 7:35,SIMPLE ASSAULT,Pacific Ave. & Lafayette St.
15-018025,8/17/2015 9:18,LARCENY OVER 200 SHOPLIFTING,701 state hwy no 440 (ST HWY 440)
15-018019,8/17/2015 9:22,LARCENY 50 TO 200 FROM AUTOS,1022 SUMMIT AVE
15-018020,8/17/2015 9:25,LARCENY OVER 200 FROM AUTOS,1944 KENNEDY BLVD
15-018201,8/17/2015 9:30,LARCENY OVER 200 FROM AUTOS,270 LEMBECK AVE
15-018028,8/17/2015 11:13,SIMPLE ASSAULT,Newark Ave and Second Street
15-018029,8/17/2015 11:52,"BURGLARY, RESID. ATT FORC ENT, UNKNOWN",529 CENTRAL AVE a
15-019185,8/17/2015 12:00,LARCENY OVER 200 BIKES,272 6TH ST 2
15-018071,8/17/2015 13:18,"BURGLARY, RESID. FORCIBLE ENT, DAY",3683 KENNEDY BLVD 6
15-018042,8/17/2015 14:30,LARCENY OVER 200 FROM AUTOS,BALDWIN AVE. & MONTGOMERY ST.
15-018051,8/17/2015 14:30,LARCENY 50 TO 200 SHOPLIFTING,232 CENTRAL AVE
15-018044,8/17/2015 15:55,ASSAULT WITH OTHER WEAPON,OAK ST & MARTIN LUTHER KING DR
15-018060,8/17/2015 16:00,LARCENY 50 TO 200 BIKES,156 OLD BERGEN RD
15-019737,8/17/2015 16:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",15 HOPKINS AVE 34
15-018057,8/17/2015 16:15,LARCENY OVER 200 BIKES,75 COLUMBIA AVE
15-018124,8/17/2015 18:30,SIMPLE ASSAULT,18TH ST & WASHINGTON BLVD
15-018085,8/17/2015 19:00,SIMPLE ASSAULT,207 7TH ST
15-018070,8/17/2015 19:32,VANDALISM M.V.,STEGMAN ST & MARTIN LUTHER KING DR
15-018077,8/17/2015 20:24,"ASSAULT/AGG/HANDS, FISTS & FEET",259 Van Nostrand Avenue
15-018136,8/17/2015 21:00,SIMPLE ASSAULT,256 WINFIELD AVE
15-018157,8/17/2015 21:10,SIMPLE ASSAULT,95 CLENDENNY AVE
15-018086,8/17/2015 21:50,LARCENY UNDER 50 FROM AUTOS,683 Garfield Ave
15-018093,8/18/2015 0:32,LARCENY OVER 200 FROM AUTOS,BOSTWICK AVE & BERGEN AVE
15-018100,8/18/2015 2:51,"ROBBERY, KNIFE, STREET",Wilkenson Ave (WILKINSON AVE) & OCEAN AVE
15-018102,8/18/2015 3:45,ASSAULT W/KNIFE OR CUTTING INST,JEFFERSON AVE & SUMMIT AVE
15-018103,8/18/2015 6:58,VANDALISM RESIDENCE,17 PRESCOTT ST Floor: 1
15-018106,8/18/2015 8:10,LARCENY OVER 200 FROM AUTOS,488 CENTRAL AVE
15-018116,8/18/2015 10:05,VANDALISM RESIDENCE,265 CENTRAL AVE
15-018130,8/18/2015 11:30,LARCENY OVER 200 FROM AUTOS,33 DALES AVE
15-018123,8/18/2015 12:02,VANDALISM M.V.,824 GRAND ST
15-018125,8/18/2015 12:04,SIMPLE ASSAULT,112 MERRITT ST 2
15-018122,8/18/2015 12:07,LARCENY OVER 200 FROM AUTOS,383 2ND ST
15-018141,8/18/2015 14:27,"BURGLARY, RESIDENT, UNLAW ENT, DAY",49 WAVERLY ST 47
15-018144,8/18/2015 15:00,SIMPLE ASSAULT,620 MONTGOMERY ST 203
15-018226,8/18/2015 16:00,LARCENY OVER 200 FROM BUILDING,2810 KENNEDY BLVD
15-018224,8/18/2015 16:30,LARCENY OVER 200 FROM BUILDING,30 MALL DR W
15-018162,8/18/2015 19:00,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",16 - 2 WALTER MAYS DRIVE
15-018163,8/18/2015 19:00,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",4 - 2 WALTER MAYS DRIVE
15-018165,8/18/2015 20:03,"ARSON, OTHER/CMRCIAL, INHABITED",360 MLK DR (MARTIN LUTHER KING DR)
15-018171,8/18/2015 20:20,SIMPLE ASSAULT,20 GRACE ST
15-018166,8/18/2015 20:21,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,701 ST HWY 440
15-018169,8/18/2015 20:30,SIMPLE ASSAULT,DWIGHT ST & OCEAN AVE
15-018174,8/18/2015 20:30,VANDALISM M.V.,174 Fairview Ave
15-018177,8/18/2015 20:52,SIMPLE ASSAULT,Jefferson Ave./Oakland Ave.
15-018220,8/18/2015 22:00,LARCENY 50 TO 200 OTHER,49 LEONARD ST Floor: 3
15-018181,8/18/2015 23:38,"ROBBERY, FIREARMS, STREET",775 WEST SIDE AVE
15-018187,8/19/2015 3:13,ASSAULT WITH OTHER WEAPON,Grundy Pier
15-018189,8/19/2015 6:00,LARCENY 50 TO 200 FROM AUTOS,BRIGHT ST & FREMONT ST
15-018193,8/19/2015 7:30,LARCENY OVER 200 FROM AUTOS,83 BLEECKER ST
15-018190,8/19/2015 7:39,"ROBBERY, STRONG ARM, STREET",175 CLAREMONT AVE
15-018194,8/19/2015 8:59,SIMPLE ASSAULT,152 VAN WAGENEN AVE 4c
15-018206,8/19/2015 10:00,LARCENY OVER 200 FROM AUTOS,443 PACIFIC AVE
15-018205,8/19/2015 11:00,"ROBBERY, STRONG ARM, STREET",63 Atlantic St
15-018215,8/19/2015 11:40,LARCENY UNDER 50 FROM BUILDING,3 NEW YORK AVE
15-018219,8/19/2015 11:49,LARCENY 50 TO 200 SHOPLIFTING,10 MALL DR W
15-018214,8/19/2015 12:54,LARCENY 50 TO 200 OTHER,
15-018218,8/19/2015 13:30,LARCENY OVER 200 FROM AUTOS,538 MERCER ST
15-018251,8/19/2015 13:30,"BURGLARY, RESID. ATT FORC ENT, DAY",119 GRACE ST
15-018223,8/19/2015 14:14,VANDALISM RESIDENCE,242 LEXINGTON AVE 4 Floor: 2
15-018246,8/19/2015 18:30,LARCENY OVER 200 FROM AUTOS,TRIBECA AVE & GRANT AVE
15-018245,8/19/2015 19:00,VANDALISM OTHER,334.1 WOODWARD ST
15-018254,8/19/2015 20:45,LARCENY 50 TO 200 AUTO PARTS AND ACCESSORIES,ROMAR AVE & SEAVIEW AVE
15-018389,8/19/2015 21:00,VANDALISM M.V.,VAN REYPEN ST & TONNELE AVE
15-018267,8/20/2015 2:36,ASSAULT WITH A FIREARM,Bentley & Bergen Ave
15-018272,8/20/2015 6:25,"BURGLARY, NON-RES FORCIBL ENT, DAY",1687 KENNEDY BLVD
15-018448,8/20/2015 7:30,LARCENY UNDER 50 FROM AUTOS,960 SUMMIT AVE
15-018277,8/20/2015 8:28,VANDALISM M.V.,174 DANFORTH AVE
15-018279,8/20/2015 9:40,LARCENY OVER 200 OTHER,88 LIBERTY AVE Floor: 1
15-018316,8/20/2015 11:00,LARCENY 50 TO 200 OTHER,158 MALLORY AVE
15-018284,8/20/2015 11:03,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,977 COMMUNIPAW AVE
15-018300,8/20/2015 12:20,LARCENY OVER 200 SHOPLIFTING,311 CENTRAL AVE
15-018315,8/20/2015 13:04,LARCENY 50 TO 200 SHOPLIFTING,701 ST HWY 440
15-018330,8/20/2015 18:44,SIMPLE ASSAULT,725 Rte 440 (ST HWY 440)
15-018318,8/20/2015 19:00,ASSAULT WITH OTHER WEAPON,191 BERGEN AVE
15-018335,8/20/2015 19:30,ASSAULT W/KNIFE OR CUTTING INST,35 PALISADES AVE (PALISADE AVE)
15-018338,8/20/2015 20:15,"BURGLARY, RESIDENT, UNLAW ENT, UNKNOWN",618 Palisade Ave 1 Floor: 1
15-018396,8/20/2015 21:00,ASSAULT W/KNIFE OR CUTTING INST,Claremont Avenue and Rose Avenue
15-018341,8/20/2015 21:30,VANDALISM RESIDENCE,205 WEBSTER AVE 2L
15-018339,8/20/2015 22:28,LARCENY 50 TO 200 FROM AUTOS,229 ACADEMY ST
15-018346,8/21/2015 0:55,"BURGLARY, NON-RES, ATT FORC ENT, NIGHT",DANFORTH AVE & FOWLER AVE
15-018349,8/21/2015 1:49,"ROBBERY, FIREARM, BUSINESS",WEST SIDE AVE & SIP AVE
15-018352,8/21/2015 5:17,LARCENY 50 TO 200 FROM AUTOS,69 DALES AVE
15-018353,8/21/2015 5:21,VANDALISM M.V.,253 NEWARK AVE
15-018358,8/21/2015 8:29,VANDALISM BUSINESS,360 MARTIN LUTHER KING DR
15-018359,8/21/2015 8:31,VANDALISM BUSINESS,370 MARTIN LUTHER KING DR
15-018363,8/21/2015 9:48,VANDALISM OTHER,DUNCAN AVE & US HWY 1&9
15-018367,8/21/2015 10:00,"BURGLARY, RESIDENT, UNLAW ENT, DAY",61 BAYVIEW AVE Floor: 1
15-018369,8/21/2015 11:00,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",586 West Side Avenue
16-011432,8/21/2015 11:30,ASSAULT WITH OTHER WEAPON,315 GROVE ST
15-018375,8/21/2015 12:59,LARCENY OVER 200 OTHER,3080 KENNEDY BLVD
15-018381,8/21/2015 14:20,LARCENY 50 TO 200 OTHER,251 Pacific Ave.
15-018382,8/21/2015 14:30,LARCENY 50 TO 200 OTHER,188 CARTERET AVE 1a
15-018398,8/21/2015 17:50,"BURGLARY, RESIDENT, UNLAW ENT, DAY",272 HUTTON ST 27
15-018404,8/21/2015 19:36,LARCENY OVER 200 OTHER,31 GIFFORD AVE
15-018408,8/21/2015 20:06,ASSAULT WITH A FIREARM,14 LEXINGTON AVE
15-018413,8/21/2015 20:33,LARCENY OVER 200 OTHER,266 GARFIELD AVE
15-018414,8/21/2015 21:33,ASSAULT WITH A FIREARM,LEXINGTON AVE & KENNEDY BLVD
15-018478,8/21/2015 23:00,"BURGLARY, RESIDENT, UNLAW ENT, UNKNOWN",65 SUMMIT AVE 402
15-018417,8/21/2015 23:42,"ASSAULT/AGG/HANDS, FISTS & FEET",140 WEBSTER AVE
15-018419,8/22/2015 0:08,SIMPLE ASSAULT,101 WEGMAN PKWY
15-018430,8/22/2015 4:45,LARCENY 50 TO 200 BIKES,57 BEACON AVE Floor: 1
15-018459,8/22/2015 8:30,VANDALISM M.V.,444 WASHINGTON BLVD AVALON COVE
15-018439,8/22/2015 10:26,VANDALISM M.V.,GRAY ST & ACADEMY ST
15-018452,8/22/2015 11:20,LARCENY 50 TO 200 FROM AUTOS,BERGEN AVE & JEWETT AVE
15-018458,8/22/2015 11:41,LARCENY UNDER 50 FROM AUTOS,109 MALLORY AVE
15-018469,8/22/2015 16:13,"BURGLARY, RESIDENT, UNLAW ENT, DAY",19 SHEFFIELD ST 2
15-018466,8/22/2015 16:22,"BURGLARY/NON-RES. UNLAWF ENT, NIGHT",213 Armstrong Ave
15-018468,8/22/2015 16:52,LARCENY OVER 200 SHOPLIFTING,180 12TH ST
15-018480,8/22/2015 19:00,SIMPLE ASSAULT,168 ACADEMY ST 39 Floor: 3
15-018486,8/22/2015 19:00,LARCENY OVER 200 SHOPLIFTING,30 MALL DR W
15-018474,8/22/2015 19:19,VANDALISM M.V.,JEFFERSON AVE & SUMMIT AVE
15-018481,8/22/2015 19:28,LARCENY 50 TO 200 FROM AUTOS,John F. Kennedy BLVD & Orient Ave
15-018487,8/22/2015 20:15,"BURGLARY, RESIDENT, UNLAW ENT, NIGHT",150 VAN HORNE ST Floor: 3
15-018490,8/22/2015 22:10,ASSAULT WITH OTHER WEAPON,355 GRAND ST
15-018530,8/22/2015 23:00,SIMPLE ASSAULT,339 Sip Ave
15-018492,8/22/2015 23:10,VANDALISM M.V.,336 EGE AVE
15-023682,8/23/2015 0:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",46 McAdoo Ave
15-018499,8/23/2015 0:30,SIMPLE ASSAULT/POLICE,2323 J F Kennedy (KENNEDY BLVD)
15-018495,8/23/2015 0:31,"ASSAULT, POLICE, KNIFE",115 ARMSTRONG AVE
15-018498,8/23/2015 1:17,"ROBBERY, FIREARM, RESIDENTIAL",VIRGINIA AVE & MARTIN LUTHER KING DR
15-018508,8/23/2015 2:11,LARCENY UNDER 50 FROM AUTOS,56 CENTER ST
15-018500,8/23/2015 3:03,ASSAULT W/KNIFE OR CUTTING INST,COMMUNIPAW AVE & MONTICELLO AVE
15-018515,8/23/2015 4:30,"ROBBERY, FIREARMS, STREET",STUYVESANT AVE & KENNEDY BLVD
15-018506,8/23/2015 6:00,"ROBBERY, FIREARMS, STREET",WEST SIDE AVE & KENSINGTON AVE
15-018504,8/23/2015 6:53,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",88 CLIFTON PL
15-018505,8/23/2015 7:09,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",65 SOUTH ST
15-018507,8/23/2015 7:30,LARCENY OVER 200 FROM AUTOS,472 JERSEY AVENUE
15-018514,8/23/2015 9:00,ASSAULT WITH OTHER WEAPON,281 Neptune Avenue (Basement)
15-018517,8/23/2015 10:35,LARCENY UNDER 50 FROM AUTOS,305 CATOR AVE
15-018524,8/23/2015 12:00,SIMPLE ASSAULT,516 PATERSON PLANK RD 2f
15-018525,8/23/2015 13:10,SIMPLE ASSAULT,BOSTWICK AVE & MARTIN LUTHER KING DR
15-018535,8/23/2015 16:00,LARCENY UNDER 50 FROM AUTOS,WEST SIDE AVE & KENSINGTON AVE
15-018540,8/23/2015 16:10,VANDALISM M.V.,45 CONGRESS ST
15-018537,8/23/2015 16:30,LARCENY 50 TO 200 BIKES,301.5 SECOND ST (2ND ST)
15-018616,8/23/2015 16:35,LARCENY OVER 200 OTHER,Lincoln Park
15-018541,8/23/2015 17:52,VANDALISM RESIDENCE,276 WINFIELD AVE
15-018546,8/23/2015 19:50,ASSAULT WITH A FIREARM,Wilkinson Ave & Ocean Ave
15-018552,8/23/2015 20:00,VANDALISM M.V.,Acadamy (ACADEMY ST) & GRAY ST
15-018553,8/23/2015 20:00,VANDALISM M.V.,Acadamy (ACADEMY ST) & GRAY ST
15-018554,8/23/2015 20:00,VANDALISM M.V.,Acadamy (ACADEMY ST) & GRAY ST
15-018557,8/23/2015 20:58,"BURGLARY, RESIDENT, UNLAW ENT, NIGHT",209 Armstrong Ave
15-018558,8/23/2015 21:00,SIMPLE ASSAULT,133 VAN WAGENEN AVE
15-018565,8/23/2015 22:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",325 OLD BERGEN RD Floor: 2
15-018561,8/23/2015 22:09,ASSAULT WITH OTHER WEAPON,260 MLK Drive
15-018567,8/24/2015 1:03,SIMPLE ASSAULT,188 CARTERET AVE 2b
15-018571,8/24/2015 2:30,"BURGLARY, RESIDENT, UNLAW ENT, UNKNOWN",26 MCADOO AVE Floor: 1
15-018574,8/24/2015 3:00,"BURGLARY/NON-RES. UNLAWF ENT, UNKNOWN",45 LINDEN AVE E (E LINDEN AVE)
15-018569,8/24/2015 3:18,ASSAULT WITH OTHER WEAPON,OCEAN AVE & DWIGHT ST
15-018570,8/24/2015 3:38,VANDALISM M.V.,26 FISK ST Floor: 2
15-018575,8/24/2015 6:27,LARCENY UNDER 50 FROM AUTOS,WHITON ST & MAPLE ST
15-018577,8/24/2015 7:26,VANDALISM OTHER,154 STEUBEN ST
15-018578,8/24/2015 7:52,VANDALISM M.V.,VROOM ST & GRAY ST
15-018583,8/24/2015 7:52,VANDALISM M.V.,VROOM ST & GRAY ST
15-018584,8/24/2015 7:52,VANDALISM M.V.,VROOM ST & GRAY ST
15-018585,8/24/2015 7:52,VANDALISM M.V.,VROOM ST & GRAY ST
15-018586,8/24/2015 7:52,VANDALISM M.V.,VROOM ST & GRAY ST
15-018587,8/24/2015 7:52,VANDALISM M.V.,VROOM ST & GRAY ST
15-018581,8/24/2015 8:20,LARCENY 50 TO 200 SHOPLIFTING,100 14TH ST
15-018582,8/24/2015 8:34,LARCENY 50 TO 200 OTHER,3 A BOYD CT
15-019456,8/24/2015 10:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",723 GARFIELD AVE
15-018623,8/24/2015 11:00,LARCENY OVER 200 FROM BUILDING,95 WEBSTER AVE 2R
15-018613,8/24/2015 12:45,LARCENY UNDER 50 OTHER,135 Hopkins Ave. 4
15-018621,8/24/2015 15:55,"BURGLARY/NON-RES. UNLAWF ENT, UNKNOWN",2854 KENNEDY BLVD
15-018628,8/24/2015 17:00,LARCENY 50 TO 200 FROM AUTOS,2854 John F Kennedy Blvd Floor: 4
15-018638,8/24/2015 20:00,SIMPLE ASSAULT,Columbia Park Jersey City NJ 07305
15-022221,8/24/2015 20:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",266 OGDEN AVE 2
15-018637,8/24/2015 20:40,LARCENY OVER 200 FROM BUILDING,109 ERIE ST 1r Floor: 1
15-018644,8/25/2015 1:21,VANDALISM M.V.,DWIGHT ST & MARTIN LUTHER KING DR
15-018704,8/25/2015 2:00,LARCENY UNDER 50 FROM AUTOS,363 NEW YORK AVE
15-018652,8/25/2015 8:56,SIMPLE ASSAULT,19 JEWETT AVE 4
15-018660,8/25/2015 11:06,LARCENY UNDER 50 OTHER,95 MARTIN LUTHER KING DR
15-018667,8/25/2015 13:14,SIMPLE ASSAULT,912 BERGEN AVE
15-018671,8/25/2015 14:08,ASSAULT WITH OTHER WEAPON,93 JEWETT AVE
15-018675,8/25/2015 14:30,LARCENY UNDER 50 FROM AUTOS,580 LIBERTY AVE
15-018679,8/25/2015 14:44,"BURGLARY, RESIDENT, UNLAW ENT, DAY",78 BOWERS ST Floor: 1
15-018682,8/25/2015 15:15,LARCENY OVER 200 FROM AUTOS,4th St/Merseles St
15-018687,8/25/2015 16:00,LARCENY UNDER 50 FROM AUTOS,275 Martin Luther King Dr
15-018693,8/25/2015 17:10,LARCENY OVER 200 BIKES,575 WASHINGTON BLVD
15-018699,8/25/2015 17:15,"BURGLARY, RESIDENT, UNLAW ENT, DAY",125 OGDEN AVE
15-018685,8/25/2015 20:30,LARCENY OVER 200 AUTO PARTS AND ACCESSORIES,96 SOUTH ST Floor: 1
15-018710,8/25/2015 20:42,VANDALISM M.V.,CLENDENNY AVE & KENNEDY BLVD
15-018708,8/25/2015 21:00,MOTOR VEHICLE THEFT LOCALLY,1 Greene St 615
15-018804,8/25/2015 21:00,"ROBBERY, STRONG ARM, STREET",2 Journal Square
15-018722,8/25/2015 23:00,"ASSAULT/AGG/HANDS, FISTS & FEET",OCEAN AVE & CHAPEL AVE
15-018939,8/25/2015 23:00,VANDALISM M.V.,332 2ND ST Floor: 1
15-018740,8/26/2015 1:35,"ASSAULT/AGG/HANDS, FISTS & FEET",499 SUMMIT AVE
15-018730,8/26/2015 3:30,LARCENY OVER 200 BIKES,981 WEST SIDE AVE
15-018734,8/26/2015 5:55,"BURGLARY, RESIDENT, UNLAW ENT, NIGHT",133 VAN WAGENEN AVE 409
15-018739,8/26/2015 7:00,VANDALISM BUSINESS,629 COMMUNIPAW AVE
15-018741,8/26/2015 8:18,"ROBBERY, STRONG ARM, STREET",1 JOURNAL SQ
15-018742,8/26/2015 8:26,LARCENY UNDER 50 FROM AUTOS,332 HALLADAY ST
15-018744,8/26/2015 8:36,VANDALISM M.V.,51 BENTLEY AVE
15-018792,8/26/2015 9:00,LARCENY 50 TO 200 FROM AUTOS,39 ROMAINE AVE
15-018751,8/26/2015 10:15,LARCENY UNDER 50 OTHER,76 ASTOR PL
15-018752,8/26/2015 10:47,SIMPLE ASSAULT,550 US HWY 1&9
15-018759,8/26/2015 12:52,SIMPLE ASSAULT,AUDUBON AVE & KENNEDY BLVD
15-018770,8/26/2015 13:07,VANDALISM M.V.,13 PALISADE AVE
15-018767,8/26/2015 13:20,LARCENY OVER 200 SHOPLIFTING,563 OCEAN AVE
15-018777,8/26/2015 13:37,LARCENY 50 TO 200 OTHER,176 PALISADE AVE 663/B Floor: 6
15-018776,8/26/2015 14:08,VANDALISM RESIDENCE,299 HALLADAY ST Floor: 1
15-019494,8/26/2015 17:00,LARCENY OVER 200 AUTO PARTS AND ACCESSORIES,144 STEGMAN ST Floor: b
15-018728,8/26/2015 17:30,LARCENY 50 TO 200 OTHER,30 MALL DR W
15-018798,8/26/2015 18:10,VANDALISM RESIDENCE,354 1ST STREET
15-018846,8/26/2015 23:00,"ROBBERY, STRONG ARM, STREET",BOYD AVE & KENNEDY BLVD
15-018810,8/26/2015 23:22,SIMPLE ASSAULT,FAIRMOUNT AVE & GRAND ST
15-018822,8/27/2015 0:20,VANDALISM RESIDENCE,MARIN BLVD & BAY ST
15-019167,8/27/2015 2:30,ASSAULT W/KNIFE OR CUTTING INST,619 GROVE ST
15-018852,8/27/2015 4:00,VANDALISM M.V.,50 STORMS AVE
15-018851,8/27/2015 4:15,SIMPLE ASSAULT,191 BERGEN AVE
15-018820,8/27/2015 6:45,"BURGLARY, RESID. FORCIBLE ENT, DAY",104 CORBIN AVE 1A
